,calculated_offset,overall_offset,total_offset
CAR-070,-5.11811354213,0.09,-5.02811354213
CAR-072,-3.93044895446,0.0,-3.93044895446
CAR-072B,-2.54101224022,-0.065,-2.60601224022
CAR-072O,-2.62467337585,-0.045,-2.66967337585
SDG-072,-4.68897931606,0.06,-6.42950490525
SDG-080,-1.11122339035,0.0,-1.11122339035
SDG-084,-1.2368779727,-0.1,-1.3368779727
SDG-084J,-2.18504091673,0.1,-2.08504091673
SDG-085,-3.45144625184,0.0,-3.45144625184
SDG-085G,-4.20603907513,0.1,-4.10603907513
SDG-085M,-5.63976729272,0.03,-5.60976729272
SDR-036,-3.1003958374,0.0,-3.1003958374
SDR-041,-7.70630232929,1.63,-6.07630232929
SDR-064,-2.87401706083,-0.15,-3.02401706083
SDR-097,-2.07349164278,-0.05,-2.12349164278
SDR-098,-1.75196970512,0.0,-1.75196970512
SDR-1024,-2.63779689134,,-2.53280998635
SDR-1031,-1.30118211752,,-1.83267818051
SDR-127,-3.7926532147,0.0,-3.53018588136
SDR-203A,-3.83858486339,,-3.81889992677
SDR-204A,-6.64370460886,,-3.09055298819
SDR-207,-4.88189404764,0.15,-4.73189404764
SDR-223,-5.80708989882,,-5.80708989882
SDR-228,-2.75590715413,,-2.86089407507
SDR-568,-3.07086828898,,-3.07086828898
SDR-723,-4.4586636124,,-4.4586636124
SDR-740,-1.08267768622,,-1.08267768622
SDR-751,-2.28346592224,,-2.28346592224
SDR-772,-1.00000079087,0.2,-0.800000790866
SDR-780,-3.56299668622,,-3.56299668622
SDR-939,-3.1496081063,,-3.1496081063
SLR-045,-3.93263693342,0.0,-3.93263693342
SLR-045A,-4.52264159547,0.5,-4.02264159547
SLR-045B,-1.49606380531,0.1,-1.39606380531
SLR-095,0.0787395834646,0.0,0.0787395834646
SWT-019,-3.43405596319,0.25,-3.18405596319
SWT-030,-3.12992353996,,-3.12992353996
SWT-055,-5.46260376673,,-5.46260376673
SWT-055A,-3.45472809803,,-3.45472809803
